priorite;score;nom_entreprise;adresse;telephone;telephone_intl;site_web;statut_web;note_google;nombre_avis;nb_photos_api;niche;ville;raisons;horaires_apercu;lien_google_maps;place_id;statut_appel;date_appel;notes;date_extraction
TIÈDE;68;La Compagnie des Déboucheurs;27 Chem. du Haut Morier, 41000 Blois, France;02 54 51 96 02;+33 2 54 51 96 02;https://www.compagnie-deboucheurs.com/loir-et-cher/;Oui;4.9;806;10;plombier;Blois;10+ photos API (excellent) / 806 avis (exceptionnel) / Site web existant (à vérifier) / Note 4.9/5 (excellente) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=7503929251970500092;ChIJTd8tq5xV40cR_EVdq-VPI2g;;;;2026-05-18
TIÈDE;68;elec confort;43 Rue Basse des Grouëts, 41000 Blois, France;06 04 47 27 56;+33 6 04 47 27 56;https://elec-confort.com/;Oui;5;211;10;électricien;Blois;10+ photos API (excellent) / 211 avis (exceptionnel) / Site web existant (à vérifier) / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 06:00 – 19:00 | mardi: 06:00 – 19:00 | mercredi: 06:00 – 19:00;https://maps.google.com/?cid=8284650031298329390;ChIJ2Y0ck-tX40cRLjv3O0_9-HI;;;;2026-05-18
TIÈDE;67;S EAU S Plomberie Dépannage;64 Av. de Grammont, 37000 Tours, France;06 87 00 28 02;+33 6 87 00 28 02;https://www.s-eau-s-plomberie.fr/;Oui;4.4;149;10;plombier;Tours;10+ photos API (excellent) / 149 avis (très bon) / Site web existant (à vérifier) / Note 4.4/5 (idéale) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=9655246586795256043;ChIJ7V2qlZLV_EcR6-i7cJ1T_oU;;;;2026-05-18
TIÈDE;67;Dupuy Frederic Plomberie et Electricité;52 Av. de Verdun, 41000 Blois, France;02 54 43 86 99;+33 2 54 43 86 99;http://www.dupuyfredericelectricite.com/;Oui;4.5;123;10;plombier;Blois;10+ photos API (excellent) / 123 avis (très bon) / Site web existant (à vérifier) / Note 4.5/5 (idéale) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=14766526448874619774;ChIJa_xh2wqo5EcRfgOVn5E97cw;;;;2026-05-18
TIÈDE;63;Dépannage plombier 37;2 Rue de Liège, 37100 Tours, France;06 72 44 34 14;+33 6 72 44 34 14;https://depannage-plombier-37.fr/;Oui;5;168;10;plombier;Tours;10+ photos API (excellent) / 168 avis (très bon) / Site web existant (à vérifier) / Note 5.0/5 (excellente) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=4717715187024515933;ChIJD_3_4mXV_EcRXdMPkveweEE;;;;2026-05-18
TIÈDE;63;ACS Moussi;107 Av. du Maréchal Maunoury, 41000 Blois, France;02 54 79 11 15;+33 2 54 79 11 15;http://www.acs-moussi.com/;Oui;4.8;164;10;plombier;Blois;10+ photos API (excellent) / 164 avis (très bon) / Site web existant (à vérifier) / Note 4.8/5 (excellente) / Horaires renseignés;lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00;https://maps.google.com/?cid=9489964918864986321;ChIJ0QLTOJVX40cR0cDdT9Ags4M;;;;2026-05-18
TIÈDE;63;Therm&Co;4 Rue Alfred de Musset, 41100 Vendôme, France;06 34 48 70 41;+33 6 34 48 70 41;http://thermeco.plombierweb.fr/?utm_source=gmb;Oui;4.7;78;10;plombier;Vendôme;10+ photos API (excellent) / 78 avis (très bon) / Site web existant (à vérifier) / Note 4.7/5 (excellente) / Horaires renseignés;lundi: 08:00 – 12:00, 13:30 – 18:00 | mardi: 08:00 – 12:00, 13:30 – 18:00 | mercredi: 08:00 – 12:00, 13:30 – 18:00;https://maps.google.com/?cid=2555877827558995438;ChIJRYo2ibdr40cR7nXzsFdNeCM;;;;2026-05-18
TIÈDE;60;Vendome elec;Av. de la Somme, 93290 Tremblay-en-France, France;06 16 87 91 16;+33 6 16 87 91 16;http://vendome-elec.fr/;Oui;5;85;10;électricien;Vendôme;10+ photos API (excellent) / 85 avis (très bon) / Site web existant (à vérifier) / Note 5.0/5 (excellente);;https://maps.google.com/?cid=14494798370198788174;ChIJP9ZvlpcX5kcRThicKlLeJ8k;;;;2026-05-18
TIÈDE;60;Batelec Service Artisanat;34 Rue Nationale, 41120 Cellettes, France;02 54 70 42 09;+33 2 54 70 42 09;https://batelec-energies.fr/fr/page/installation-electrique/blois?utm_source=gmb;Oui;4.6;44;10;électricien;Blois;10+ photos API (excellent) / 44 avis (bon) / Site web existant (à vérifier) / Note 4.6/5 (idéale) / Horaires renseignés;lundi: 08:30 – 17:30 | mardi: 08:30 – 17:30 | mercredi: 08:30 – 17:30;https://maps.google.com/?cid=301037323568675903;ChIJlSysaa-u5EcRP_xxz9l_LQQ;;;;2026-05-18
TIÈDE;56;Novaservices;56 Av. Gustave Eiffel, 37100 Tours, France;02 47 72 18 94;+33 2 47 72 18 94;http://www.novaservices.fr/;Oui;4.8;68;10;plombier;Tours;10+ photos API (excellent) / 68 avis (bon) / Site web existant (à vérifier) / Note 4.8/5 (excellente) / Horaires renseignés;lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00;https://maps.google.com/?cid=9416268903558990011;ChIJ58xEL8jV_EcRu8gwoq1OrYI;;;;2026-05-18
TIÈDE;56;AMSS37;15 Rue de l'Abbaye de Gastines, 37100 Tours, France;07 56 97 88 68;+33 7 56 97 88 68;https://www.amss37.fr/;Oui;4.9;57;10;plombier;Tours;10+ photos API (excellent) / 57 avis (bon) / Site web existant (à vérifier) / Note 4.9/5 (excellente) / Horaires renseignés;lundi: 08:00 – 12:00, 13:00 – 19:00 | mardi: 08:00 – 12:00, 13:00 – 19:00 | mercredi: 08:00 – 12:00, 13:00 – 19:00;https://maps.google.com/?cid=4873507651689410808;ChIJE9WrqGDV_EcR-HAYZWMtokM;;;;2026-05-18
TIÈDE;56;VINCENT David;35 Rue de Freyssinet, 37300 Joué-lès-Tours, France;06 70 37 76 81;+33 6 70 37 76 81;http://www.electricien-vincent-tours.fr/;Oui;4.9;66;10;électricien;Tours;10+ photos API (excellent) / 66 avis (bon) / Site web existant (à vérifier) / Note 4.9/5 (excellente) / Horaires renseignés;lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00;https://maps.google.com/?cid=10303150193040692232;ChIJ1-y7zdYp_UcRCBSwG4Mk_I4;;;;2026-05-18
TIÈDE;56;Dirélec P. Lamine;41 Rue Ulysse Fleury, 41350 Vineuil, France;06 65 94 86 68;+33 6 65 94 86 68;http://www.dir-elec.fr/;Oui;5;37;10;électricien;Blois;10+ photos API (excellent) / 37 avis (bon) / Site web existant (à vérifier) / Note 5.0/5 (excellente) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=8010711104209959442;ChIJSzwGm_an5EcREjq2hE7DK28;;;;2026-05-18
TIÈDE;56;Raphelec;18 Rue du Gris d'Aunis, 41100 Naveil, France;06 25 09 64 01;+33 6 25 09 64 01;https://raphelec41.fr/?utm_source=gmb;Oui;5;36;10;électricien;Vendôme;10+ photos API (excellent) / 36 avis (bon) / Site web existant (à vérifier) / Note 5.0/5 (excellente) / Horaires renseignés;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24;https://maps.google.com/?cid=4129332113663772795;ChIJXYkWGA8_WAQRe8iK4q1VTjk;;;;2026-05-18
TIÈDE;53;Vendôme Chauffage;Yvon Villarceau, ZAC des Courtis, 41100 Vendôme, France;02 54 23 40 47;+33 2 54 23 40 47;https://www.vendomechauffage41.com/;Oui;4.4;22;10;plombier;Vendôme;10+ photos API (excellent) / 22 avis (correct) / Site web existant (à vérifier) / Note 4.4/5 (idéale) / Horaires renseignés;lundi: 08:00 – 12:00, 13:30 – 17:30 | mardi: 08:00 – 12:00, 13:30 – 17:30 | mercredi: 08:00 – 12:00, 13:30 – 17:30;https://maps.google.com/?cid=222085675085247264;ChIJQWm02fVr40cRILMorb4BFQM;;;;2026-05-18
TIÈDE;49;Monsieur Jean - votre Plombier de confiance;133 Rue Origet, 37000 Tours, France;02 55 99 41 31;+33 2 55 99 41 31;https://www.monsieurjean-plombier.fr/;Oui;5;34;10;plombier;Tours;10+ photos API (excellent) / 34 avis (correct) / Site web existant (à vérifier) / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 08:00 – 19:00 | mardi: 08:00 – 19:00 | mercredi: 08:00 – 19:00;https://maps.google.com/?cid=7903129209296367708;ChIJdSTw4JXV_EcRXLAfriSOrW0;;;;2026-05-18
TIÈDE;49;Améa;Sq. Mantegna, 37000 Tours, France;06 40 81 77 74;+33 6 40 81 77 74;http://amea-electricien.com/;Oui;5;20;10;électricien;Tours;10+ photos API (excellent) / 20 avis (correct) / Site web existant (à vérifier) / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 09:00 – 18:00 | mardi: 09:00 – 18:00 | mercredi: 09:00 – 18:00;https://maps.google.com/?cid=4169212162649975498;ChIJZ4G15Ls5U4kRymr9W18E3Dk;;;;2026-05-18
TIÈDE;49;CM Energies;37B All. des Pins, 41000 Blois, France;06 27 62 52 88;+33 6 27 62 52 88;https://prorenov-cvdl.com/;Oui;5;22;10;électricien;Blois;10+ photos API (excellent) / 22 avis (correct) / Site web existant (à vérifier) / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00;https://maps.google.com/?cid=16672127776668990268;ChIJ0Q2rxelX40cRPDtHUuFLX-c;;;;2026-05-18
TIÈDE;49;CED Corneillet Electrique Domotique SARL;7 Rue Davout, 37300 Joué-lès-Tours, France;06 22 98 41 57;+33 6 22 98 41 57;https://ced-corneilletelectriquedomotique.fr/;Oui;5;23;10;électricien;Tours;10+ photos API (excellent) / 23 avis (correct) / Site web existant (à vérifier) / Note 5.0/5 (excellente) / Horaires renseignés;lundi: 08:30 – 18:30 | mardi: 08:30 – 18:30 | mercredi: 08:30 – 18:30;https://maps.google.com/?cid=1717079782480993517;ChIJUxCg-0XX_EcR7dzI9fZK1Bc;;;;2026-05-18
